grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, pancake16, '4 2 1 8 5 0 9 13 6 14 3 11 10 15 12 7', na, na, na, na 
x, dfid, pancake16, '9 7 6 5 10 11 12 13 14 4 15 8 1 0 3 2', na, na, na, na 
x, dfid, pancake16, '2 1 11 10 9 6 7 8 12 13 5 0 3 4 14 15', 7, 1330649749, 40.0358, 3.32365e+07
x, dfid, pancake16, '9 4 5 6 15 7 8 3 11 12 0 10 2 1 13 14', na, na, na, na 
x, dfid, pancake16, '11 3 15 14 12 13 2 5 10 7 4 1 8 9 6 0', na, na, na, na 
x, dfid, pancake16, '15 13 12 11 10 9 8 14 0 1 2 3 4 5 6 7', 4, 649686, 0.019998, 3.24875e+07
x, dfid, pancake16, '12 11 10 9 8 7 6 0 1 2 3 4 5 13 14 15', 2, 2623, 9.6e-05, 2.73229e+07
x, dfid, pancake16, '11 8 5 4 7 0 2 1 14 10 12 15 6 13 3 9', na, na, na, na 
x, dfid, pancake16, '7 6 5 4 3 2 1 0 8 9 10 11 12 13 14 15', 1, 107, 6e-06, 1.78333e+07
x, dfid, pancake16, '6 2 7 8 9 10 11 5 4 0 1 3 12 13 14 15', 6, 14314407, 0.43317, 3.30457e+07
x, dfid, pancake16, '11 10 9 8 0 1 2 3 7 6 5 4 12 13 14 15', 3, 33430, 0.001017, 3.28712e+07
x, dfid, pancake16, '2 1 0 8 12 11 9 10 3 4 7 6 5 13 14 15', 6, 57963102, 1.74786, 3.31622e+07
x, dfid, pancake16, '13 12 11 10 0 1 2 3 4 5 6 7 8 9 14 15', 2, 2894, 0.000106, 2.73019e+07
x, dfid, pancake16, '12 13 11 10 9 8 7 6 5 4 3 2 1 0 14 15', 2, 408, 2e-05, 2.04e+07
x, dfid, pancake16, '2 3 4 5 6 7 8 9 10 11 1 0 12 13 14 15', 2, 2065, 7.3e-05, 2.82877e+07
x, dfid, pancake16, '5 6 11 12 0 1 10 9 8 7 13 14 15 4 3 2', 8, 5876298141, 177.442, 3.31167e+07
x, dfid, pancake16, '8 15 3 1 14 11 13 6 9 4 2 12 0 7 10 5', na, na, na, na 
x, dfid, pancake16, '13 12 11 10 9 8 7 0 1 2 3 4 5 6 14 15', 2, 2849, 0.00011, 2.59e+07
x, dfid, pancake16, '12 11 10 9 8 7 6 5 4 3 2 1 0 14 15 13', 3, 44718, 0.001369, 3.26647e+07
x, dfid, pancake16, '7 3 4 5 6 8 9 10 11 12 13 14 2 1 0 15', 4, 179510, 0.005429, 3.3065e+07
x, dfid, pancake16, '7 8 9 10 11 12 6 5 4 3 2 1 0 13 14 15', 2, 1236, 3.8e-05, 3.25263e+07
x, dfid, pancake16, '7 6 5 4 2 3 1 0 8 9 10 11 12 13 14 15', 4, 213588, 0.006603, 3.23471e+07
x, dfid, pancake16, '8 12 14 13 0 2 7 6 4 9 11 3 15 5 1 10', na, na, na, na 
x, dfid, pancake16, '15 14 13 12 11 0 1 2 3 4 5 6 7 8 9 10', 2, 3331, 0.000138, 2.41377e+07
x, dfid, pancake16, '6 7 8 9 10 11 12 5 0 4 3 2 1 13 14 15', 4, 284201, 0.008663, 3.28063e+07
x, dfid, pancake16, '7 8 9 10 11 12 13 14 6 1 0 2 3 4 5 15', 4, 331844, 0.010898, 3.045e+07
x, dfid, pancake16, '12 5 4 3 2 11 10 9 8 7 6 1 0 13 14 15', 4, 196360, 0.006105, 3.21638e+07
x, dfid, pancake16, '4 5 3 1 2 7 10 8 11 12 13 14 6 9 15 0', na, na, na, na 
x, dfid, pancake16, '0 5 6 3 4 1 2 7 8 9 10 11 12 13 14 15', 5, 2575644, 0.080486, 3.20011e+07
x, dfid, pancake16, '8 7 6 2 1 0 3 4 5 14 9 13 12 11 10 15', 6, 81144022, 2.44704, 3.31601e+07
x, dfid, pancake16, '11 12 13 14 15 10 9 8 0 1 5 4 6 7 3 2', 6, 41283487, 1.24614, 3.3129e+07
x, dfid, pancake16, '1 2 3 4 5 6 7 8 9 0 10 11 12 13 14 15', 2, 1824, 7.7e-05, 2.36883e+07
x, dfid, pancake16, '2 3 4 5 6 7 8 12 11 10 9 1 0 13 14 15', 3, 30551, 0.000931, 3.28153e+07
x, dfid, pancake16, '6 5 4 3 2 7 8 9 10 11 12 13 1 0 14 15', 3, 14319, 0.000439, 3.26173e+07
x, dfid, pancake16, '0 1 2 3 4 5 6 11 12 8 9 10 7 13 14 15', 6, 53682745, 1.62363, 3.30634e+07
x, dfid, pancake16, '7 5 4 3 2 1 0 8 9 6 10 11 12 13 14 15', 4, 357649, 0.011047, 3.23752e+07
x, dfid, pancake16, '7 8 6 5 4 3 2 1 0 10 11 9 12 13 14 15', 4, 73341, 0.002612, 2.80785e+07
x, dfid, pancake16, '15 5 11 2 12 7 6 13 8 4 3 14 9 10 0 1', na, na, na, na 
x, dfid, pancake16, '4 5 6 7 8 0 1 9 10 3 2 11 12 13 14 15', 5, 5061729, 0.156633, 3.23159e+07
x, dfid, pancake16, '14 13 12 0 1 2 3 4 6 5 7 8 9 10 11 15', 5, 5317112, 0.162422, 3.27364e+07
x, dfid, pancake16, '4 5 6 7 8 9 10 11 12 3 2 1 0 13 14 15', 2, 1869, 9.5e-05, 1.96737e+07
x, dfid, pancake16, '6 0 11 5 9 14 10 3 12 15 7 8 2 13 4 1', na, na, na, na 
x, dfid, pancake16, '15 14 13 0 1 2 3 4 12 11 10 9 8 7 6 5', 3, 46165, 0.00145, 3.18379e+07
x, dfid, pancake16, '10 6 9 3 4 5 15 0 1 2 8 13 12 7 11 14', na, na, na, na 
x, dfid, pancake16, '8 7 3 6 5 4 2 1 15 0 9 10 11 12 13 14', 8, 1855929622, 55.9152, 3.31919e+07
x, dfid, pancake16, '1 15 14 13 12 11 10 9 0 2 3 4 8 6 7 5', 8, 12456071612, 375.626, 3.31609e+07
x, dfid, pancake16, '7 9 8 1 2 3 4 5 6 10 0 11 12 13 14 15', 6, 17661885, 0.530743, 3.32777e+07
x, dfid, pancake16, '12 6 9 1 8 7 5 13 4 2 3 14 10 15 11 0', na, na, na, na 
x, dfid, pancake16, '5 4 0 1 2 3 6 7 8 9 10 11 12 13 14 15', 2, 1116, 4.6e-05, 2.42609e+07
x, dfid, pancake16, '2 3 4 5 6 7 8 9 10 0 1 11 12 13 14 15', 3, 25759, 0.000824, 3.12609e+07
x, dfid, pancake16, '7 9 0 4 1 15 2 3 13 6 14 5 10 11 12 8', na, na, na, na 
x, dfid, pancake16, '3 6 4 5 0 10 9 8 7 2 1 11 12 13 14 15', 7, 944494110, 28.4283, 3.32237e+07
x, dfid, pancake16, '4 7 5 10 0 6 12 15 1 2 3 13 11 14 8 9', na, na, na, na 
x, dfid, pancake16, '10 15 6 3 1 2 0 7 8 4 9 12 13 14 11 5', na, na, na, na 
x, dfid, pancake16, '11 10 2 1 0 12 13 14 6 5 4 3 15 9 7 8', 8, 3068551226, 92.6334, 3.31257e+07
x, dfid, pancake16, '13 14 12 11 10 9 0 1 2 8 7 6 5 4 3 15', 4, 84072, 0.002582, 3.25608e+07
x, dfid, pancake16, '15 14 3 4 5 1 2 13 12 7 6 0 8 9 10 11', na, na, na, na 
x, dfid, pancake16, '9 8 7 6 4 3 13 12 11 0 1 2 10 5 14 15', 6, 93061979, 2.82285, 3.29674e+07
x, dfid, pancake16, '9 10 11 12 8 7 6 5 4 3 2 1 0 13 14 15', 2, 814, 3.5e-05, 2.32571e+07
x, dfid, pancake16, '8 9 12 11 10 5 13 7 6 4 3 2 1 0 14 15', 7, 480283993, 14.4922, 3.31409e+07
x, dfid, pancake16, '12 4 3 7 5 8 9 10 11 2 6 1 0 13 14 15', na, na, na, na 
