grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, topspin16-4.txt, '14 13 0 4 3 2 5 9 8 7 6 1 12 10 11 15', na, na, na, na 
x, dfid, topspin16-4.txt, '14 13 1 4 5 6 2 3 7 11 10 9 8 12 0 15', 4, 66085, 0.002274, 2.90611e+07
x, dfid, topspin16-4.txt, '2 1 7 5 14 3 13 4 10 11 12 9 8 6 0 15', na, na, na, na 
x, dfid, topspin16-4.txt, '0 6 12 3 5 9 7 2 8 13 11 10 1 4 14 15', na, na, na, na 
x, dfid, topspin16-4.txt, '2 10 6 4 5 0 12 11 8 1 13 3 7 9 14 15', na, na, na, na 
x, dfid, topspin16-4.txt, '14 2 3 4 7 8 9 5 6 13 12 11 10 1 0 15', 4, 80122, 0.002767, 2.89563e+07
x, dfid, topspin16-4.txt, '0 1 5 4 3 7 13 10 11 12 9 8 14 2 6 15', 8, 663588030, 22.8774, 2.90063e+07
x, dfid, topspin16-4.txt, '0 6 9 8 4 5 10 14 13 12 11 3 7 1 2 15', 6, 4426792, 0.152065, 2.91112e+07
x, dfid, topspin16-4.txt, '0 12 11 2 1 13 14 3 7 6 5 4 8 9 10 15', 4, 70612, 0.002428, 2.90824e+07
x, dfid, topspin16-4.txt, '2 1 5 9 8 10 12 7 6 11 13 0 3 4 14 15', na, na, na, na 
x, dfid, topspin16-4.txt, '3 5 14 7 1 4 13 9 8 10 11 12 2 6 0 15', 8, 338468882, 11.6107, 2.91515e+07
